Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,speed
31-50,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,48
Unknown,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,48
31-50,Male,Unknown,Unknown,Unknown,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,53
31-50,Male,Unknown,Unknown,Unknown,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,95
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,14
Unknown,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving to the left,2,14
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,13
31-50,Male,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian,2,20
31-50,Male,Elementary school,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,104
31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown,Not a Pedestrian,Changing lane to the right,2,62
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,2,27
18-30,Male,Junior high school,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,2,10
18-30,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,76
Over 51,Male,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,2,58
31-50,Male,Elementary school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,47
Unknown,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,2,77
18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2,8
31-50,Male,Junior high school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,2,10
31-50,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,58
31-50,Male,High school,Owner,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,101
18-30,Male,Junior high school,Owner,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,106
18-30,Male,Unknown,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,52
18-30,Male,Elementary school,Owner,Above 10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,61
18-30,Male,Elementary school,Owner,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,87
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,58
31-50,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overtaking,2,38
31-50,Male,Unknown,Owner,Unknown,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,0,79
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving to the left,0,94
18-30,Male,High school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2,48
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No priority to vehicle,2,12
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,41
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Other,2,9
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,106
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,9
31-50,Male,Junior high school,Employee,No Licence,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right,2,67
18-30,Male,Above high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,78
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,51
18-30,Male,Elementary school,Employee,5-10yr,Double carriageway (median),T Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,62
Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,55
Unknown,Male,High school,Employee,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2,33
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,45
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,10
18-30,Male,Writing & reading,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,Moving Backward,Not a Pedestrian,No distancing,2,13
18-30,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Other,2,7
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,94
18-30,Male,Writing & reading,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,39
Unknown,Male,Elementary school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,47
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,106
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,Driving carelessly,2,57
18-30,Male,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,93
Over 51,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,49
31-50,Male,Junior high school,Owner,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,78
31-50,Male,Writing & reading,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2,10
18-30,Male,Writing & reading,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,18
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,96
31-50,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,97
31-50,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Other,1,17
Unknown,Female,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,83
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,No priority to pedestrian,2,10
Unknown,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,2,21
Unknown,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to pedestrian,2,56
Unknown,Female,Junior high school,Employee,Below 1yr,other,Y Shape,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,40
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,61
Unknown,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,1,53
18-30,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,106
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,70
18-30,Male,Junior high school,Employee,5-10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,44
18-30,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,39
Unknown,Female,High school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,71
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,37
Unknown,Male,Elementary school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,2,89
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,87
31-50,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,99
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,50
31-50,Male,Junior high school,Owner,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,88
31-50,Male,High school,Owner,Above 10yr,Unknown,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,65
Unknown,Male,Unknown,Owner,Below 1yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,1,17
18-30,Male,Writing & reading,Owner,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,70
18-30,Male,Above high school,Employee,Above 10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Turnover,2,53
18-30,Male,High school,Employee,Below 1yr,One way,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,51
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,41
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,No distancing,2,47
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,95
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,91
18-30,Male,Junior high school,Employee,No Licence,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,70
Unknown,Female,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,2,68
18-30,Male,Illiterate,Owner,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,102
Unknown,Female,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,108
31-50,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,84
31-50,Male,Junior high school,Owner,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overloading,2,46
31-50,Male,Unknown,Owner,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,45
31-50,Male,Unknown,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2,55
18-30,Male,Junior high school,Owner,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right,2,27
18-30,Male,Elementary school,Owner,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Moving Backward,2,11
18-30,Male,Writing & reading,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,51
18-30,Male,Unknown,Owner,Unknown,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,70
18-30,Male,Junior high school,Owner,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No distancing,2,113
18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,1,44
31-50,Male,Junior high school,Owner,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Crossing from driver's nearside,No distancing,1,25
31-50,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,51
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,57
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the right,2,56
Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,2,88
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward,2,31
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,60
31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Overtaking,2,51
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overloading,2,84
31-50,Male,Junior high school,Employee,Above 10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right,2,8
31-50,Male,Elementary school,Owner,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Improper parking,2,36
18-30,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,41
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Changing lane to the left,2,106
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Changing lane to the right,2,9
31-50,Male,Unknown,Unknown,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,2,15
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Overspeed,2,6
18-30,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,97
Unknown,Female,Junior high school,Employee,Above 10yr,Unknown,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,41
31-50,Male,High school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,59
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,99
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,1,11
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,70
31-50,Male,Junior high school,Employee,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,1,12
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Moving Backward,Not a Pedestrian,Other,2,16
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Driving carelessly,2,112
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,52
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,2,102
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,34
18-30,Male,Elementary school,Employee,Below 1yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,38
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,12
31-50,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown,Not a Pedestrian,Changing lane to the right,2,45
31-50,Male,Unknown,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,100
Over 51,Male,Writing & reading,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving at high speed,2,44
Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,84
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,91
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,38
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,71
18-30,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Other,2,22
31-50,Male,High school,Employee,2-5yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,77
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,69
18-30,Male,Above high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,80
18-30,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,1,103
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,2,7
Over 51,Male,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,70
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,80
Over 51,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,59
31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,109
